t,IR2_Obs,IR2in_Obs,InsulinFragments_Obs
0,0.00108072352791662,0.0089967620911158,0.00712751061477715
5.5,1.16328135229514,NaN,NaN
10,0.852153586491393,6.96622524707325,0.157644107121438
15,0.637983193024125,NaN,NaN
20,NaN,5.76776426896504,0.526558252650394
25,0.371183529692333,NaN,NaN
30,0.307691074258525,5.79565795142345,NaN
35,NaN,NaN,1.53992126106034
40,0.414170483515415,NaN,NaN
45,NaN,5.33164569277564,1.69772862263517
50,0.308336847189943,NaN,NaN
55,NaN,3.34039554073377,NaN
60,0.31277394521616,NaN,1.60922154637733
70,0.274321427246135,7.80526356732021,NaN
80,NaN,NaN,2.80882400818896
85,0.182701861679702,4.36791305998548,NaN
95,NaN,NaN,2.93183052327478
100,0.301743538273623,3.93999816643518,3.78795787796113
150,NaN,2.23737748248376,2.57487834288286
200,NaN,3.94035354460519,7.33949422533295
