t,AC_Fsk_Obs,RIIp_2_Obs
0,-0.114727028399102,0.0940685134063443
6.5,0.005412270932913,NaN
10,NaN,0.106210129370718
15,-0.0312414912118817,NaN
20,-0.198010440788284,NaN
25,NaN,0.152510214280865
30,0.0661896430309539,NaN
35,-0.14439988450548,0.135493341063587
45,0.100128421206799,NaN
50,NaN,0.153050636313485
60,-0.204475649130187,NaN
65,NaN,0.138527976031229
70,0.0413489558423053,NaN
80,NaN,0.141967610727456
85,-0.157582129972334,NaN
100,-0.0251568970788787,0.145650092809127
150,NaN,0.199514297457403
