t,AC_Fsk_Obs,RIIp_2_Obs
0,0.00100388908853072,0.150547282290945
8,-0.00433402139736689,NaN
15,-0.000468801274990761,NaN
20,NaN,0.121034026918099
25,-0.00294906052720674,NaN
35,0.000694843933237427,NaN
40,NaN,0.119663005117438
45,0.00135730642434043,NaN
60,0.00400817472799917,NaN
65,NaN,0.191084299353898
75,0.107866929957783,NaN
90,NaN,0.200985227831426
95,0.112892062734021,NaN
100,0.108436603717359,0.242658771832669
150,NaN,0.299172621723384
200,NaN,0.296374244392573
250,NaN,0.254074431917408
300,NaN,0.312654935926685
350,NaN,0.299843919997428
450,NaN,0.253424182713097
