t,AC_Fsk_Obs,RIIp_2_Obs
0,0.00139699181486558,0.127844020851476
7.5,0.0226823279038473,NaN
15,0.00102507549945086,NaN
20,NaN,0.0561674837228087
25,-0.0119952165742265,NaN
35,0.00648845559395297,NaN
40,NaN,0.127210297965581
45,0.000267463490127037,NaN
55,0.00101654802345709,NaN
60,NaN,0.0715442860542945
70,0.284055645490691,NaN
80,NaN,0.277793607766651
90,0.308989736672205,NaN
100,0.289987045457346,0.311690212679182
150,NaN,0.344092092850919
200,NaN,0.342082556515742
250,NaN,0.30364250526099
300,NaN,0.346498743166602
350,NaN,0.37666349060583
450,NaN,0.351913553386231
