t,AC_Fsk_Obs,RIIp_2_Obs
0,7.63487079929276e-05,0.11884936222046
8,0.00702501276630924,NaN
15,-0.00189274725146091,NaN
20,NaN,0.112851146604949
25,-2.27861760868735e-05,NaN
35,0.00090195936599221,0.0940186060205225
45,-0.00357712114460309,NaN
55,NaN,0.0958192648544422
60,0.00573978627586508,NaN
75,0.106741709672974,NaN
80,NaN,0.217751460441185
90,0.11605202318922,NaN
100,0.11421212307016,0.270671341159364
150,NaN,0.205018965399848
200,NaN,0.275236390514377
250,NaN,0.283523717358721
300,NaN,0.294965006659822
350,NaN,0.276509507290666
450,NaN,0.273325651126565
