t,AC_Fsk_Obs,Sp8_Br_cAMPS_Obs,RIIp_2_Obs
0,0.0882015067792753,-1.19489123031964,0.141649236373585
3,NaN,2.6267011219724,NaN
6,NaN,4.13736012565643,NaN
8.5,NaN,NaN,0.271340344761331
9.5,NaN,6.3465874849776,NaN
10,-0.111880676972906,NaN,NaN
15,NaN,9.09783899752377,NaN
20,0.0290723068281202,9.34803067120194,0.353423785928506
25,NaN,8.8300250931868,NaN
30,-0.094942794323551,7.21958303581497,0.328870684662638
35,NaN,10.5378633309205,NaN
40,NaN,NaN,0.37070141898596
45,0.187372213272306,9.91959453500055,NaN
50,NaN,10.483337985082,NaN
55,-0.210469957240568,NaN,0.342097723642966
60,NaN,9.69937903359534,NaN
70,-0.0321108999099782,NaN,0.321789389239979
90,0.00877893411379139,NaN,NaN
100,-0.178425547529817,NaN,NaN
150,0.0748850679299478,NaN,NaN
