t,AC_Fsk_Obs,Sp8_Br_cAMPS_Obs
0,0.000657201258453227,-0.706649594563634
4,NaN,-0.0411390605271917
8,NaN,0.113765230916849
10,NaN,0.204602270757585
15,-0.0264171882731456,5.16316324297855
20,NaN,6.60388657547323
30,-0.12213573208691,8.14838985056466
35,NaN,10.5584621565485
40,NaN,9.89040929467854
45,-0.14789289323646,NaN
50,NaN,9.59152869323945
60,NaN,9.96278877765666
65,0.163656777899217,NaN
75,NaN,9.93058820000508
85,0.17111752370905,NaN
100,-0.0267040135591718,NaN
150,0.135896279945584,NaN
200,0.114146382582525,NaN
250,0.103008706620975,NaN
300,0.0746389412438779,NaN
