t,AC_Fsk_Obs,RIIp_2_Obs
0,-0.00181791233799868,0.125417227704021
7.5,0.000693986629628749,NaN
15,0.000220162087199277,NaN
20,NaN,0.164603745549168
25,0.000790825635784009,NaN
30,-0.00124678877570667,NaN
40,0.00067189281352938,0.146590690373877
55,-0.000603443050771883,NaN
65,NaN,0.185921832774323
70,0.0384613830378044,NaN
85,0.0378265769585603,0.150747078047902
100,0.0417353599032892,0.20115265863046
150,NaN,0.246275832914232
200,NaN,0.168901517267472
250,NaN,0.218810241501927
300,NaN,0.210542664988731
350,NaN,0.219278025618695
450,NaN,0.176806018250936
