t,pAC_Obs,AC_Fsk_Obs,RIIp_2_Obs
0,-0.0822727323928333,-0.00746772996798357,0.138252714761244
15,-0.0708389208690822,NaN,0.147110798768809
25,NaN,-0.0590881979323048,NaN
30,NaN,NaN,0.105286195251359
35,0.0024141749458338,NaN,NaN
45,NaN,0.163620936587488,0.14016717251384
50,-0.17717551155284,NaN,NaN
65,NaN,NaN,0.112120814642163
70,NaN,-0.0233786335830424,NaN
75,-0.110855621145157,NaN,NaN
85,NaN,NaN,0.10599736182289
100,-0.0269179527145403,-0.0816707695705776,0.111447695404748
150,-0.163585146465849,0.0938869939309953,NaN
200,0.111493017294649,0.117492077831847,NaN
250,NaN,-0.191030454432367,NaN
300,NaN,-0.062189870496833,NaN
350,NaN,-0.0670518049754754,NaN
450,NaN,-0.0178728522156618,NaN
