t,CISnRNA1_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,-139.117804407083,27.0573908706408,115.205003553171,-6.71113184105735e-05,-4.39672977965744e-05
9,NaN,143.574377407167,NaN,NaN,NaN
10,70.2825735969066,NaN,NaN,0.000476691422381623,7.92322290099974e-05
15,NaN,NaN,94.4623813802926,NaN,NaN
20,1070.08851939634,150.506935903932,NaN,0.00124441800053139,NaN
25,NaN,NaN,NaN,NaN,0.00182741373042936
30,NaN,269.533126641321,70.8353708054373,NaN,NaN
35,1937.07237931508,NaN,NaN,0.00238721355161863,NaN
40,NaN,432.154092389584,NaN,NaN,0.00201317253631551
45,2914.95328156318,NaN,91.6055865634118,0.00196609478405158,NaN
50,NaN,1215.90266655659,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.00209487906141873
60,2699.61974495351,NaN,NaN,0.00179540659403027,NaN
65,NaN,1948.59267999268,103.674830973039,NaN,NaN
70,NaN,NaN,NaN,NaN,0.00163180593255882
75,2251.87116423736,NaN,NaN,NaN,NaN
80,NaN,2289.68382069921,NaN,0.00144588291740088,NaN
85,NaN,NaN,108.103767070499,NaN,NaN
95,1377.98772662076,NaN,NaN,NaN,0.00109018372680853
100,1479.38110326429,2312.50937143415,98.7357002128043,0.000762045332944883,0.000798795478980148
150,855.836206940204,1284.66666743274,99.9060428579426,0.000401561853017982,0.000643572709314423
200,1305.82450862864,1075.67751204758,90.8050678113327,NaN,0.000572337459675372
