t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,SHP1_Obs,p2EpoRpJAK2_Obs
0,6.39386702740621,0.0120787408358389,-0.0825245233503509,68.122868777092,26.7841403980936,-0.0186519282113568
7.5,NaN,NaN,NaN,NaN,17.748020862844,NaN
9.5,NaN,NaN,NaN,NaN,NaN,0.261317368188868
10,6.14309086646722,0.134681068720532,NaN,NaN,NaN,NaN
15,NaN,NaN,1.06094296474416,-3.37602432128745,21.6482142136248,NaN
20,5.43907019201529,NaN,NaN,NaN,NaN,0.217617175858092
25,NaN,0.125739628380876,NaN,6.79034443628093,18.0274641538822,NaN
30,5.45144747717374,NaN,0.543137237723905,NaN,24.4890129353423,0.241973318744243
40,NaN,0.134891582868711,NaN,NaN,23.0208007931146,0.236974668528357
45,4.22931234265136,NaN,NaN,12.7556565194618,NaN,NaN
50,NaN,NaN,0.332697314952434,NaN,NaN,NaN
55,7.59539077299197,0.122522259431981,NaN,NaN,22.8401146188514,0.197679862517048
60,NaN,NaN,NaN,11.389405197607,NaN,NaN
65,NaN,NaN,NaN,NaN,20.1165953077231,0.16197395560737
70,6.55948403296149,NaN,0.351011918249768,NaN,NaN,NaN
75,NaN,0.11911462976783,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,27.1616690816564,0.148039006213084
85,NaN,NaN,NaN,12.8123196431529,NaN,NaN
90,5.95822961908558,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,0.350008178339578,NaN,NaN,NaN
100,6.78135546395576,0.11039115352645,0.316227391253371,11.8579571631296,28.5721080583413,0.240928197327874
150,6.64406125115807,NaN,NaN,NaN,NaN,0.160589757721262
200,6.40732832715621,NaN,NaN,NaN,NaN,NaN
