t,EpoRJAK2_Obs,CISnRNA1_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,5.69022568075439,-302.61594459135,-13.9140657018837,-174.25857174333,0.397139250623514,0.000285769831226536,0.000165411994273666,0.000347788005147004
4.5,6.72608449090142,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,321.275656993308,-54.9443653468386,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,-239.802180927726,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,0.746520250696619,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,0.00101121578469446,0.000191518996883132,NaN
9,6.1598412903136,NaN,NaN,NaN,NaN,NaN,NaN,0.000528341870257203
10,NaN,688.049561502479,-297.803974335514,-24.9286753390533,NaN,NaN,NaN,NaN
15,7.36143883483741,2644.98384417128,234.865895986789,NaN,-0.166591909374197,NaN,0.00262895232416785,NaN
20,6.45607406483849,2892.33854957728,44.479422177259,152.705538544899,0.0607959451214158,0.00360507801290957,NaN,0.00308928619599131
25,7.33888920385466,NaN,619.098000587097,197.035873012559,NaN,0.00388486183633861,0.00340285094835594,NaN
30,5.43018489192511,4986.82659033049,NaN,267.50756588934,0.327587046575399,NaN,NaN,0.0035251932473434
35,NaN,4215.57641013145,913.385320471235,NaN,NaN,0.00300525755797895,0.00330256489588085,NaN
40,7.47792807123576,NaN,1676.21237535432,1057.2526086202,0.933627935828561,NaN,NaN,0.00336857033582975
45,6.94109281185349,4414.87880267795,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,2376.24790616601,1521.99808033509,1.06915422551021,0.0018383248986667,0.00232020139642563,0.00229390066558296
55,7.38658440752635,3691.04996577695,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,3066.20251095264,2282.69739750635,NaN,0.00136921483829555,0.0020337034563353,NaN
65,NaN,2532.04392539348,NaN,NaN,4.21158295367984,NaN,NaN,0.00197263952037673
70,5.34752169797248,NaN,3229.6753559248,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,3356.35597116268,NaN,0.00105631892721212,0.000911287807277633,NaN
80,6.84651125033821,2090.34102809873,NaN,NaN,8.1802957211434,NaN,NaN,0.0011403337812857
85,NaN,NaN,3270.48739009685,NaN,NaN,NaN,NaN,NaN
95,NaN,1098.48452762653,NaN,3250.44782428511,NaN,0.00081964606385076,0.00060434556392104,NaN
100,NaN,908.676343604663,2747.19689074682,2925.07147288776,11.3890554918784,0.000656111183131913,0.000636651590488923,0.000712952734909489
150,NaN,NaN,NaN,1127.92600509758,NaN,0.000346881391153028,0.000389344099292695,0.000552087034314424
