t,EpoRJAK2_Obs,CISnRNA1_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,7.06461929142802,-431.765512228061,235.839513471936,-169.10554553725,0.0617963838185949,8.31433525936144e-05,0.000198935121255448,0.000277570469361625
5,6.67054548765089,-766.448231120414,-199.317743568004,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,-45.0441922859549,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,4.9910982499483e-05,NaN
8.5,NaN,NaN,NaN,NaN,NaN,0.000994500310153325,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000517544870410616
10,4.63331740509869,870.740771325935,-126.535273140135,NaN,-0.889791523735342,NaN,NaN,NaN
15,6.309258545111,1845.02506041916,411.136269333418,-2.87877314342643,NaN,0.00275200083265486,0.0030320129203693,NaN
20,6.84001147128077,2684.01390152588,53.7854477138294,178.215547680949,0.0765325532298834,NaN,NaN,0.00385370128437045
25,NaN,4200.51841587968,945.621067740856,NaN,NaN,0.00453874096039481,0.00366013468932519,0.00437689694893548
30,6.90614723068107,NaN,NaN,285.03705445026,0.898385779073672,NaN,NaN,NaN
35,5.4957452614451,5006.85841996777,731.130179651776,NaN,NaN,0.00370311103462707,0.0033401547257815,NaN
40,NaN,5195.9872075967,1433.65315520024,848.034717110288,NaN,NaN,NaN,0.0035181299287407
45,7.07473724174467,NaN,NaN,NaN,1.52957012433293,0.00257356043415668,0.00330016513856442,NaN
50,NaN,4532.08610128851,3076.6718062914,1665.71192719546,NaN,NaN,NaN,0.00297483135721918
55,6.95715067406645,NaN,NaN,NaN,NaN,NaN,0.00240025924918091,NaN
60,NaN,3216.37821197707,3542.05582152746,2718.0049045491,3.34412480911881,0.0023319019698051,NaN,NaN
65,6.91236433304007,NaN,NaN,NaN,NaN,NaN,NaN,0.0017942704522738
70,NaN,2439.97131207755,3535.97945257527,NaN,NaN,NaN,0.00174503954607614,NaN
75,NaN,NaN,NaN,3788.23098589153,6.48669489119739,0.00141040980393987,NaN,NaN
80,7.46583987841233,NaN,NaN,NaN,NaN,NaN,NaN,0.0013219710963029
85,NaN,738.102541380124,3883.97731612179,NaN,NaN,NaN,0.00111562432645446,NaN
90,NaN,NaN,NaN,3751.17627750525,NaN,0.000870024641799447,NaN,NaN
95,7.0309051934438,NaN,NaN,NaN,12.4452188292591,NaN,NaN,0.00109874410341259
100,NaN,1613.13164104576,3446.41099375488,3061.19534502603,14.4488764070761,0.000860967471613609,0.000478749986820893,0.000756610037326134
150,NaN,NaN,NaN,1507.54878664598,20.1561874487839,0.000821879013294294,NaN,0.000193941329992286
200,NaN,NaN,NaN,NaN,18.3038385583282,NaN,NaN,NaN
