t,CISnRNA1_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,-355.034351802185,204.666668243148,-1.1158948407945,0.000786284171918469,0.000507174150101914
4.5,1596.6701532256,NaN,NaN,NaN,NaN
8.5,NaN,549.181022025708,NaN,NaN,0.00183134572107673
9,NaN,NaN,0.385929950654958,NaN,NaN
9.5,1543.26549512989,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.00313825277859154,NaN
15,3481.7137300534,297.832577961075,NaN,NaN,NaN
20,4710.82611506298,NaN,-1.55623189209013,NaN,0.00455097578122307
25,5112.23616406189,623.77203912633,0.361449577044555,0.00447402810092482,NaN
30,NaN,NaN,NaN,NaN,0.00493782834554082
35,5742.0568720092,1621.79691241461,0.935151223740603,0.00427029548632944,NaN
40,5405.34947358743,NaN,NaN,NaN,0.00448089805306395
45,NaN,3108.54989706172,NaN,NaN,NaN
50,5493.46382688603,NaN,1.69048805930529,0.00323075461471349,0.0031612279981614
60,NaN,4247.89168459237,4.05571261488106,NaN,NaN
65,4588.07021638641,NaN,NaN,NaN,0.00230989087133003
70,NaN,4649.81387890745,NaN,0.00245370418756307,NaN
75,NaN,NaN,10.1276046101475,NaN,NaN
80,2644.95089698951,NaN,NaN,NaN,0.00154675977402094
85,NaN,3887.05407822528,NaN,0.00145669474018393,NaN
90,NaN,NaN,14.7638088612071,NaN,NaN
95,1719.0522451782,NaN,NaN,NaN,NaN
100,NaN,3678.07901438051,15.9872865529489,0.000545408561002765,0.000810172500433045
150,NaN,1691.01262535167,24.6915948109971,0.00115961847985948,0.00156951563053101
200,NaN,1575.72802989641,25.6051111293458,0.00123781289500154,NaN
