t,EpoRJAK2_Obs,CISnRNA1_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,7.61944553371784,-390.656217139692,196.782901796138,73.0828531197811,1.0681743401955,0.000143849697264878,-5.98294874120361e-05,0.000321625875043599
4,NaN,380.262953065746,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,-159.309736826692,NaN,NaN,NaN,NaN,NaN
6,5.93234867648835,NaN,NaN,175.455513835335,-0.197569053944732,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00093374400980301
7.5,NaN,NaN,NaN,NaN,NaN,0.000984546836122923,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,0.000702296609774453,NaN
8.5,NaN,734.472401252559,NaN,NaN,NaN,NaN,NaN,NaN
10,6.72362686261943,NaN,-114.780048030406,-194.69686567452,NaN,NaN,NaN,NaN
15,NaN,1880.43281133784,48.1845153456658,NaN,-0.140235134898104,0.00289059443961918,0.00264960612155877,0.00245206699887986
20,6.12420605665481,2373.55330690487,172.517560412617,210.192514553124,-0.0480886718880519,NaN,NaN,NaN
25,6.10428858870563,NaN,NaN,283.630510071997,0.74717157881361,0.0034836572439876,0.00396954986343886,0.00369402893703062
30,NaN,3957.8464658857,622.26701590309,87.5639639153085,NaN,0.00393049235107648,NaN,0.00357436956757981
35,6.77980360024856,4641.74338161699,873.695100055646,NaN,-0.00589962980484982,NaN,0.00334269768374262,NaN
40,7.28770574009856,4406.31411959348,NaN,901.578480034061,NaN,0.00312924007658112,NaN,0.00260140289621302
45,NaN,NaN,1909.18850745594,NaN,0.560369249930959,NaN,0.00259990512244242,NaN
50,NaN,2972.30040574055,NaN,1512.63465824005,NaN,NaN,NaN,0.0024879354775396
55,7.93149119229844,NaN,2829.87277476158,NaN,2.46881264763917,0.00220280120468964,NaN,NaN
60,NaN,2918.84820212928,NaN,2470.31001585708,NaN,NaN,0.00219067046607085,NaN
65,7.79370582180613,NaN,3255.19913021901,NaN,2.60485464567182,0.001357193261901,NaN,0.00197071649419954
70,NaN,NaN,NaN,2962.41048560189,NaN,NaN,NaN,NaN
75,NaN,2001.58737183194,NaN,NaN,NaN,NaN,0.00167420108516794,NaN
80,5.630095619448,NaN,3234.88083881203,NaN,7.66273685027274,0.000708293180028914,NaN,0.00104301247502575
85,NaN,NaN,NaN,2870.73935774374,NaN,NaN,NaN,NaN
90,NaN,1696.2230005254,NaN,NaN,NaN,NaN,0.00049453569792891,NaN
95,NaN,NaN,2661.79636850538,NaN,10.9072831356232,0.000683256933839182,NaN,0.000645936173405895
100,8.52938991183956,NaN,2372.42802019543,3036.08034303982,11.8752618551152,0.000683847371421112,0.000942331899118547,0.000771043254327278
150,NaN,NaN,NaN,1138.91823732326,NaN,NaN,0.000310220444742444,NaN
