t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,CISnRNA1_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,7.94247540962593,-0.0170916632426745,-0.0129496776902404,75.8410836532597,-142.094368796635,5.88854956925876,-209.85634081474,2.33534260490314,7.20553350684964e-05,9.1026995899267e-05,0.000105489103559299,-0.000484649368660082,-0.0155190071366903
10,5.95559473628222,NaN,1.43087571550905,NaN,1084.14794185031,-12.3024599500783,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,3.97646294538503,NaN,NaN,215.677802133402,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,0.119508564070007,NaN,NaN,NaN,170.541222831633,NaN,0.764558544017379,NaN,NaN,NaN,NaN,NaN
25,6.06874373143378,NaN,0.372081243723757,NaN,4386.78130064196,NaN,300.765070466109,NaN,0.00422553531660845,0.00436992754147858,0.00408951682642308,0.00414771081054586,0.0507934357633313
35,6.05006207690781,NaN,0.159077745394207,28.4068848531095,5008.14964033734,1336.20526409136,NaN,0.190976324403182,NaN,NaN,NaN,NaN,NaN
40,NaN,0.113517838816132,NaN,NaN,NaN,NaN,1166.33691238292,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,1953.88209400447,NaN,NaN,NaN,0.00314257932688433,NaN,0.00347255026770245,NaN
50,7.50392166054466,NaN,0.185160346809108,46.5675090555909,5314.32751464949,NaN,NaN,NaN,0.00276935741418618,NaN,0.00309022548038559,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.45639389057115,NaN,NaN,NaN,NaN,0.108432162331863
60,NaN,0.0850568175410389,NaN,NaN,NaN,3759.28093264002,2868.26207049575,NaN,NaN,NaN,NaN,NaN,NaN
65,6.62186532361756,NaN,0.168849355982131,NaN,3100.50393402032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,52.5477203226343,NaN,NaN,NaN,NaN,NaN,0.0017796203009316,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,3405.44344660172,NaN,0.00129095420045328,NaN,0.0013045671351467,0.0011940649363032,NaN
80,NaN,NaN,0.0941159560050642,NaN,NaN,3355.61270542492,NaN,8.28548773357548,NaN,NaN,NaN,NaN,NaN
85,7.6005953513239,0.0958704560628146,NaN,NaN,1926.08771760769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13295949498157
95,NaN,NaN,0.1047506131027,69.8542472182783,NaN,2866.23401451337,3446.92927133665,NaN,NaN,NaN,NaN,NaN,NaN
100,5.12598207122618,0.0946005081828267,0.0924224842982223,70.1877692906562,1677.87489070298,2743.87256019847,3449.80674805358,12.5278850244186,0.000525686769003548,0.000825983353909696,0.000678290532720641,0.000877181381078573,0.105009316442846
150,5.72986210884369,0.112044223057385,0.224714208898988,59.7802507880492,860.641433797937,1354.35600589426,1225.19330597564,20.1507842991114,0.00058818878072392,0.000632091238233295,0.000359445706695751,0.000402232793147104,0.077240766021012
200,6.79046519327871,0.111563471315562,0.154576700699079,52.376222826219,1273.5947893437,854.386122432991,1045.89821837984,17.5318396617653,0.000826614042368199,0.000957198474152835,0.000719928421596243,0.000762908759972933,0.0842013308038287
250,NaN,NaN,NaN,NaN,1164.40195562308,NaN,1158.03480333427,17.9033083540207,0.000825966480095811,0.00125290071553687,0.000918266814730017,NaN,0.0789871248067045
300,NaN,NaN,NaN,NaN,NaN,NaN,1137.77947639095,NaN,0.000909286466446748,0.000527636871177447,0.00100108727359079,NaN,0.0502958758029922
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000958695918995725,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000496536143886235,0.000818666997232645,NaN,NaN,0.0620784134799019
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0750124034005719
