t,CISnRNA1_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,0.832825029986684,12.9941854965047,-0.0900247867229601,-2.53442762546064e-05,-1.46018366227277e-06
15,43.4850105236813,-4.79729147083693,-0.10217518622128,2.34255346522953e-05,3.19682190055658e-05
25,49.1993374657816,-17.9117486636132,NaN,NaN,NaN
30,NaN,NaN,NaN,0.000145766517161753,9.38719027099402e-05
35,NaN,NaN,0.0530598639853389,NaN,NaN
40,186.699112080369,37.9284668926845,NaN,NaN,NaN
45,NaN,NaN,NaN,0.000163490552824563,0.000166136180260342
55,234.029180805518,98.989563295558,0.11503441902867,NaN,NaN
60,NaN,NaN,NaN,0.000161515470525976,0.000207435233607518
70,236.830199700023,143.446685157879,NaN,NaN,NaN
75,NaN,NaN,0.298097713071504,NaN,NaN
80,NaN,NaN,NaN,0.000155048709914337,0.000171277524145441
90,253.033252996717,238.717749403842,NaN,NaN,NaN
95,NaN,NaN,0.363158922633462,NaN,NaN
100,208.528744514347,227.881663717413,0.516440862181734,0.000144110922098384,0.000187676308613657
150,173.377532880723,197.576051171686,1.20074179038097,0.000108325792520511,0.000134320538633485
200,139.15633106473,148.436285820623,1.6586492103237,0.000125904714559769,0.00013961357788729
250,166.136875789186,166.26908211571,1.84046847457541,NaN,NaN
300,182.271967191908,173.973837700848,2.18172691443173,NaN,NaN
