t,epo_level,CISnRNA1_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
19,2.5e-09,-327.511681386346,6.5686254054194,-0.000227899910475999,0.000785933583855062,0.000375433818905629
19,2.5e-09,317.37745878714,-14.1805741587197,-0.00206872919421533,-0.000166376702851157,5.30872920899369e-05
19,2.5e-09,398.793854886178,36.6853577431822,-0.000946095211927232,0.00125384038172079,0.000608804618397396
19,2.5e-08,621.534621079022,62.2763203246637,-0.000989740900037265,0.00141564411187884,0.000377533788770568
19,2.5e-08,694.863163934603,-18.007243594077,0.00183322659459516,0.00157598765630037,0.00122263280181388
19,2.5e-08,1461.99404920783,40.534923427069,0.00137071998811783,0.0010476808524441,0.00112401946970476
19,1.25e-07,3002.79325495338,107.415045837049,0.00633504827467495,0.00312314617606918,0.00269182286517047
19,1.25e-07,3188.63103981834,124.937426843357,0.00588914714805607,0.00438500333014839,0.00357171332978559
19,1.25e-07,3212.80463575687,101.350439618521,0.00635308778667905,0.00352082763168924,0.0031637934198372
19,2.5e-07,3163.26779952754,94.4934251380133,0.0093879625661182,0.00482357797620425,0.00451522517373072
19,2.5e-07,3601.14584809957,148.510473397871,0.0101483332801142,0.00397720970055281,0.0043982686048216
19,2.5e-07,3660.64123941042,159.43029473755,0.00815860969051671,0.00390505673971673,0.00480103732263899
19,1.25e-06,3933.67112755662,236.419339156357,0.0162674229762127,0.00403077733605091,0.00460637486675469
19,1.25e-06,4181.69442595431,259.690531876691,0.0144559404152135,0.00501130957812894,0.00412564641004465
19,1.25e-06,4646.53392562976,218.1990400624,0.0161845140775348,0.00482513370808327,0.00471646803850403
19,2.5e-06,3994.61181893844,249.637071783981,0.0171035406889431,0.00488546564102971,0.00472665031913565
19,2.5e-06,4318.80865997402,216.301405895897,0.0171236740199327,0.00468776471558469,0.00428309141493247
19,2.5e-06,4588.6978036856,234.87482050713,0.0174163804096526,0.00510965488702622,0.00394452829503648
