t,CISnRNA1_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,5.74159557870989,-13.3964054933078,-0.178248845149608,8.02911804285991e-06,3.35688972675275e-05
10,NaN,9.90429548429581,NaN,NaN,NaN
15,35.6330700849972,NaN,-0.0151380296627073,2.48387744390929e-05,2.29545450714723e-05
25,63.2890753808754,2.47306298992052,NaN,NaN,NaN
30,NaN,NaN,NaN,0.000103813652658014,8.88529927096922e-05
35,NaN,NaN,-0.111082988184963,NaN,NaN
40,167.478784445223,37.7198216400668,NaN,NaN,NaN
50,NaN,NaN,NaN,0.000222337099464605,0.000199714974305978
55,246.076189585075,97.8392552046882,0.212213920599447,NaN,NaN
65,NaN,NaN,NaN,NaN,0.00020754401057186
70,NaN,122.662235553903,NaN,0.000176426206729454,NaN
75,234.661747258169,NaN,0.364943018439628,NaN,NaN
85,NaN,242.279222739743,NaN,NaN,NaN
90,244.157321203939,NaN,NaN,0.000173914744233536,0.000193794712358258
95,NaN,NaN,0.568282754486448,NaN,NaN
100,190.937755029166,202.376559294379,0.443786183362819,0.000144887629509661,0.000188011634855255
150,170.579122838725,211.663057465077,1.11537128849118,0.000174616464324751,0.000154608531714037
200,129.784524187871,172.769625030321,1.85261202147374,0.00014008949257936,0.000100460678330983
250,141.315022848179,196.903450559234,2.03617723939438,NaN,NaN
300,175.589528052136,180.661140305728,2.14859967968471,NaN,NaN
