t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.00784321985348402,1.04010804563054,5.28331991887063e-10,0.166082031413995,0.038115603475393
0.08,NaN,0.0199717370465152,NaN,NaN,NaN
0.15,NaN,0.0258304126167301,NaN,NaN,NaN
0.2,0.0750043148728362,NaN,NaN,0.678186586819488,0.127703615394631
0.25,NaN,0.0105571088077101,6.36417495635598e-08,NaN,NaN
0.35,NaN,-0.0296420459387613,NaN,0.712579163666619,NaN
0.4,0.0822634965317096,NaN,NaN,NaN,0.120921690351239
0.45,NaN,0.0261094134335189,NaN,NaN,NaN
0.5,NaN,NaN,3.74502006177257e-08,NaN,NaN
0.55,NaN,NaN,NaN,0.659889494264013,NaN
0.6,0.0696722185705493,-0.0403121875424073,NaN,NaN,NaN
0.65,NaN,NaN,NaN,NaN,0.148350945586426
0.75,NaN,-0.00842955465331544,NaN,NaN,NaN
0.8,NaN,NaN,2.3218827467508e-08,0.523683136149798,NaN
0.85,0.0582319945602586,NaN,NaN,NaN,NaN
0.9,NaN,-0.0832150456922316,NaN,NaN,0.214031062824969
1,0.0591795113946704,NaN,1.61664211677992e-08,0.517475502036737,0.171428860727213
1.5,0.0602046470368423,NaN,1.92512006285669e-09,0.664566542286985,0.152837473019338
2,0.0896358197147042,NaN,6.43896833227545e-09,0.501426168753559,0.248312431474531
2.5,NaN,NaN,-2.04120160721843e-09,NaN,NaN
3,NaN,NaN,4.82328803712501e-09,NaN,NaN
3.5,NaN,NaN,1.05437184935178e-10,NaN,NaN
4.5,NaN,NaN,2.10427415851091e-09,NaN,NaN
5,NaN,NaN,2.41488363458972e-09,NaN,NaN
