t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.000989660207029273,0.927151182539928,5.13707914881919e-09,-0.0534393752781982,0.18482856650989
0.095,NaN,0.04025772248806,NaN,NaN,NaN
0.2,0.0142263841008017,-0.00386297259016401,NaN,0.888726285177169,0.342362008454029
0.3,NaN,0.0303479661943959,6.83740988750099e-08,NaN,NaN
0.35,NaN,NaN,NaN,NaN,0.23617612525385
0.4,0.0132419408638663,NaN,NaN,0.703620073044323,NaN
0.45,NaN,0.000818476896877909,NaN,NaN,NaN
0.55,NaN,0.0285807210616598,4.65013106283903e-08,NaN,0.442117114514995
0.6,0.0142699749196136,NaN,NaN,0.612310966860877,NaN
0.75,NaN,0.0330542321339112,NaN,NaN,0.517975351498298
0.8,NaN,NaN,NaN,0.689047012418905,NaN
0.85,0.0137224909721661,NaN,2.64550209519996e-08,NaN,NaN
0.95,NaN,0.032345066515754,NaN,NaN,NaN
1,0.00734448508850739,NaN,2.26665061237478e-08,0.354710684840419,0.292483407080312
1.5,0.00737922069261015,NaN,8.33081849105843e-09,0.543527401597408,0.368101494539677
2,0.0133700056403895,NaN,1.05973573641497e-08,0.319897346074957,0.566182071455749
2.5,0.00677075457568271,NaN,-6.80973675132711e-10,0.506543975247547,0.229447723629686
3,NaN,NaN,2.72279373609878e-10,0.805538006620096,0.428579446551213
3.5,0.00927869127251494,NaN,NaN,0.399725613582919,0.395874929689433
4,NaN,NaN,-3.37076919623111e-09,NaN,NaN
4.5,NaN,NaN,-5.87814369176084e-10,NaN,NaN
