t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.00401108178590542,1.06501057321189,-2.04323928560021e-08,0.193113705193696,0.0441161893405917
0.095,NaN,0.30800523435077,NaN,NaN,NaN
0.2,NaN,0.103229749005791,NaN,0.528684431722648,NaN
0.25,0.0159720785001093,NaN,NaN,NaN,0.0879480235553563
0.3,NaN,0.0470551856693183,2.19552951858537e-07,NaN,NaN
0.4,NaN,-0.087143885367359,NaN,NaN,NaN
0.45,NaN,NaN,NaN,0.720428440632335,NaN
0.5,0.0130325938531774,NaN,NaN,NaN,0.268220224831478
0.55,NaN,-0.0213875914103675,NaN,NaN,NaN
0.6,NaN,NaN,1.72990573522372e-07,NaN,NaN
0.7,NaN,NaN,NaN,0.587999550779249,NaN
0.75,NaN,-0.0571570083276053,NaN,NaN,0.319185189121803
0.8,0.0128995901255545,NaN,NaN,NaN,NaN
0.9,NaN,NaN,1.00120757229751e-07,NaN,NaN
0.95,NaN,0.0171049281010772,NaN,0.802016869206049,NaN
1,0.01230276298165,NaN,9.64353734725804e-08,NaN,0.324363109667445
1.5,0.0163477396605226,NaN,4.37058147619592e-08,0.389159723819442,0.39159748101495
2,0.013413323129072,NaN,3.22323107194332e-09,0.46742013825139,0.397491866443107
2.5,0.00710760397854112,NaN,1.47612803303324e-08,0.692073250881086,0.539184872711508
3,0.0128464673891564,NaN,-1.83684824355239e-08,0.527353507237662,0.556613237849383
3.5,0.0138600592994473,NaN,1.35834086829189e-08,0.628126020936142,0.432518040912451
4.5,0.0113676298711902,NaN,2.76188715090456e-09,NaN,0.391202247742031
5,NaN,NaN,-3.32514938331327e-09,NaN,NaN
