t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs,IPR_I2_Obs
0,7.76707032344029e-05,1.06645754991201,-1.39827633791793e-09,-0.0354107536752518,-0.0255853651154397
0.085,NaN,0.0363381616039948,NaN,NaN,NaN
0.1,NaN,NaN,NaN,0.810029737303077,0.213296092069814
0.15,NaN,0.0700192172972776,NaN,NaN,NaN
0.2,0.000443785156549132,NaN,NaN,NaN,NaN
0.25,NaN,0.101259889806115,NaN,0.537407830083237,0.313946989259358
0.3,NaN,NaN,6.63681241344991e-08,NaN,NaN
0.35,0.000257599318062097,-0.00885901922275745,NaN,0.424396115086587,0.31672704488846
0.5,NaN,0.0517746472526611,NaN,0.490077656682536,0.597839678301495
0.55,0.000354359328029257,NaN,NaN,NaN,NaN
0.6,NaN,NaN,4.65039930721353e-08,0.495831410376192,NaN
0.65,NaN,0.00874822223225977,NaN,NaN,0.812896810563424
0.75,0.000187306287079042,NaN,NaN,NaN,NaN
0.8,NaN,-0.0298498703139587,NaN,0.395460951380958,NaN
0.85,NaN,NaN,NaN,NaN,0.586992386289683
0.9,NaN,NaN,3.45794704470524e-08,NaN,NaN
0.95,NaN,NaN,NaN,0.443939085005878,NaN
1,0.00024540112223345,0.0817992592234218,2.37437776275801e-08,0.201574834318251,0.487956568398545
1.5,0.000248888770069122,NaN,5.87536372721611e-09,0.294314627096124,0.522542925491606
2,0.000247851904650473,NaN,8.9324094144627e-09,0.225902937337316,NaN
2.5,0.000234179329872759,NaN,5.27588177878798e-09,NaN,NaN
3,NaN,NaN,8.7242520989547e-09,NaN,NaN
4,NaN,NaN,5.7660196780584e-09,NaN,NaN
5,NaN,NaN,-2.37867996791152e-09,NaN,NaN
