t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.00463367539545254,0.989389655327019,-7.32176393194689e-09,-0.0312166537087171,0.0575227880848243
0.075,NaN,0.175031076213342,NaN,NaN,NaN
0.15,0.0174408800063601,0.0552677182439653,NaN,NaN,NaN
0.2,NaN,NaN,NaN,0.746709092615214,0.233197036796458
0.25,NaN,-0.00904121205998722,NaN,NaN,NaN
0.3,NaN,NaN,1.37890479986811e-07,NaN,NaN
0.35,0.0142922853568924,-0.0138457679271576,NaN,NaN,NaN
0.4,NaN,NaN,NaN,0.813426719889438,0.505685270399079
0.45,NaN,-0.0609316451679072,NaN,NaN,NaN
0.55,0.0139970148039304,-0.0294792399198887,NaN,NaN,NaN
0.6,NaN,NaN,8.7713709640578e-08,0.711343560430386,NaN
0.65,NaN,NaN,NaN,NaN,0.484467262560862
0.7,NaN,0.00691781174452324,NaN,NaN,NaN
0.75,0.0116446121497628,NaN,NaN,NaN,NaN
0.85,NaN,0.0311584437956873,NaN,0.621179590285968,NaN
0.9,NaN,NaN,5.95581754451251e-08,NaN,0.423329823200012
0.95,0.0119339447861839,NaN,NaN,NaN,NaN
1,0.0105793877055236,NaN,4.98126624872117e-08,0.528070988621863,0.288157639254536
1.5,0.0116652628829071,NaN,8.71573335823123e-09,0.457961448765703,0.605108077923784
2,0.00699263471837168,NaN,9.28585707805679e-09,0.299814837457843,0.280493898767623
2.5,0.00852077024194476,NaN,7.77473397915232e-09,0.516521904059347,NaN
3,0.0127343611350199,NaN,-2.14419337821837e-09,NaN,NaN
3.5,NaN,NaN,7.66627819428561e-09,0.40174340860399,NaN
4,NaN,NaN,-9.35795195054774e-10,NaN,NaN
5,NaN,NaN,-1.13699644536905e-09,NaN,NaN
5.5,NaN,NaN,3.84253917147963e-09,NaN,NaN
