t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.00030791665082567,0.969656534265597,-2.68218757736854e-12,-0.185127775174624,0.0823676765869312
0.08,NaN,0.0713015137162289,NaN,NaN,NaN
0.15,0.00420926017406079,0.0174584644402961,NaN,0.608324727187899,0.293408689095109
0.25,NaN,0.0804389275408808,NaN,NaN,0.146843444382114
0.3,NaN,NaN,NaN,0.503261777999888,NaN
0.35,0.00282658664503519,-0.0888446681322693,NaN,NaN,NaN
0.4,NaN,NaN,NaN,NaN,0.302166167905673
0.45,NaN,-0.0515641439645344,NaN,0.454860760172409,NaN
0.5,0.00122643390906388,NaN,NaN,NaN,NaN
0.6,NaN,-0.00828649034359929,NaN,NaN,0.456262673087159
0.65,NaN,NaN,NaN,0.395080731066564,NaN
0.7,0.00265593129816869,NaN,NaN,NaN,NaN
0.75,NaN,0.00921513942540947,NaN,NaN,0.564348884278208
0.8,NaN,NaN,NaN,0.455770261703419,NaN
0.9,0.00156227488255613,0.00690181518527434,NaN,NaN,NaN
1,0.000941046805756231,NaN,NaN,0.131239382795433,0.427777871187597
1.5,0.00189125639063485,NaN,NaN,0.652907096125528,0.619654091555499
2,0.00253959040694794,NaN,NaN,0.380951207549492,NaN
2.5,0.00287605443731925,NaN,NaN,0.497657441323558,NaN
3,NaN,NaN,8.37209431433609e-10,NaN,NaN
6,NaN,NaN,3.3368634626866e-11,NaN,NaN
9.5,NaN,NaN,4.69532586357222e-11,NaN,NaN
15,NaN,NaN,1.19661525962725e-11,NaN,NaN
20,NaN,NaN,4.14554484862894e-11,NaN,NaN
