t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.00857043837944742,0.978303262070556,4.30828954140671e-10,-0.0283873381898976,-0.0620608562427698
0.075,NaN,0.0886824452010132,NaN,NaN,NaN
0.15,NaN,-0.00827269730705914,NaN,0.871190941603313,NaN
0.25,0.0262496483332051,0.0111726184557913,6.71414520374149e-08,NaN,0.089893897633422
0.3,NaN,NaN,NaN,0.628065159137688,NaN
0.35,NaN,-0.0342354681804554,NaN,NaN,NaN
0.45,0.0247884000995928,0.0491938137683348,4.80006408452283e-08,0.729808712322147,NaN
0.5,NaN,NaN,NaN,NaN,0.284520290313841
0.6,NaN,0.014521377040619,NaN,NaN,NaN
0.65,NaN,NaN,NaN,0.523307993999704,NaN
0.7,NaN,NaN,3.13073452199156e-08,NaN,NaN
0.75,0.0253372838878554,0.0668332663285461,NaN,NaN,0.344996805647912
0.85,NaN,NaN,NaN,0.753693589519824,NaN
1,0.0238925390244661,NaN,1.29534305353609e-08,0.418699899495971,0.25997371355523
1.5,0.0269137331208063,NaN,7.72835447672268e-09,0.606221582976168,0.247912010360509
2,0.02715459655128,NaN,4.63091846522065e-09,0.666256466019237,0.332854858006404
2.5,0.0190848726839098,NaN,-3.93908804810448e-09,0.561610072594558,0.343145936073656
3,0.0189130307176738,NaN,1.22939936368127e-09,0.400684010521593,NaN
3.5,NaN,NaN,1.17461754009506e-09,NaN,NaN
4,0.0321655027500625,NaN,4.88946904772974e-12,NaN,NaN
4.5,NaN,NaN,1.91858555657425e-09,NaN,NaN
