t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs,IPR_I2_Obs
0,-2.38558665577971e-06,1.01732429186748,2.70606226471916e-10,0.151840733490607,-0.329435257499733
0.08,NaN,0.0851583032328878,NaN,NaN,NaN
0.085,5.21606268430146e-05,NaN,NaN,NaN,NaN
0.15,NaN,-0.039756394922106,NaN,0.638723847153839,0.2790284699353
0.2,4.55614878739123e-05,NaN,NaN,NaN,NaN
0.25,NaN,-0.0357612994136409,NaN,0.412121248698809,NaN
0.3,3.52187454512112e-05,NaN,NaN,NaN,NaN
0.35,NaN,-0.0162193049792748,NaN,NaN,0.575955717772292
0.4,3.23358121926012e-05,NaN,NaN,0.429100179856286,NaN
0.45,NaN,-0.0212692070760573,NaN,NaN,NaN
0.5,9.98326760153792e-06,NaN,NaN,NaN,0.61190586808623
0.55,NaN,NaN,NaN,0.55736596326444,NaN
0.6,NaN,-4.07914155418958e-05,NaN,NaN,NaN
0.65,2.75431829508837e-05,NaN,NaN,NaN,NaN
0.7,NaN,NaN,NaN,0.362576010066654,0.545673514460819
0.75,NaN,-0.0448498985021565,NaN,NaN,NaN
0.85,1.33187290431425e-05,NaN,NaN,NaN,NaN
0.9,NaN,0.0366429481943148,NaN,0.197652087180109,NaN
0.95,NaN,NaN,NaN,NaN,0.647217311865112
1,4.6951914712107e-05,NaN,NaN,0.327470944802765,0.563778639389413
1.5,NaN,NaN,1.05471225471116e-08,0.3098678698376,0.465456394671214
2,NaN,NaN,NaN,0.359154477284323,0.727845774615842
2.5,NaN,NaN,NaN,0.301942821421147,0.627273333539298
3,NaN,NaN,1.28870997563084e-09,NaN,NaN
3.5,NaN,NaN,NaN,NaN,0.568244065919964
4.5,NaN,NaN,-8.14934534011561e-11,NaN,NaN
6.5,NaN,NaN,6.55286004194248e-10,NaN,NaN
8.5,NaN,NaN,-5.19570263404702e-10,NaN,NaN
10,NaN,NaN,1.8385791787135e-10,NaN,NaN
15,NaN,NaN,-8.35188045909995e-11,NaN,NaN
20,NaN,NaN,2.55767329166573e-10,NaN,NaN
