t,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.484282465109562,0.0167466793051955,0.0297581659843655
3.5,NaN,0.0167046093996248,NaN
4,0.27365131894433,NaN,NaN
7,NaN,NaN,0.0422705958716214
7.5,NaN,0.0201409934026479,NaN
8,0.392806652690701,NaN,NaN
10,0.317752867799353,0.013880683334831,NaN
15,-0.115559548904604,0.00859976879530964,0.0573196386582675
20,NaN,-0.000335751618612611,0.064320379413771
25,-0.078346337846212,NaN,NaN
30,0.0402655731553441,0.00192946159480512,0.00943141400397629
35,NaN,-0.000241532841198597,NaN
40,-0.0170219078354118,NaN,NaN
45,NaN,NaN,-0.00228703472809516
55,NaN,NaN,0.0230567609793009
