t,RIIp_cAMP_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,-0.0826055330837425,0.0290832952194156,-0.0374641296207937
7,NaN,NaN,-0.0208048661557767
10,NaN,0.0761539143232788,NaN
15,NaN,NaN,-0.0378859965119825
20,0.0060766670092226,0.013042010258798,0.0181433097413959
30,NaN,0.041872961201437,0.0241392421796017
40,NaN,NaN,0.0032835289537442
45,-0.0385770317808255,0.0283465846005496,NaN
50,NaN,NaN,-0.0677150692133636
60,NaN,0.0430683616799803,0.0403591304408286
65,0.247539090346439,NaN,NaN
75,NaN,NaN,0.354039734143357
80,NaN,0.0305401501959109,NaN
90,0.146266587476082,NaN,0.303522709075166
100,0.224624683154701,NaN,0.268413631562384
150,0.258277101048732,NaN,NaN
200,0.184555220295404,NaN,NaN
250,0.125323491803599,NaN,NaN
300,0.0874136981742969,NaN,NaN
350,0.078649044050543,NaN,NaN
450,0.19281367055272,NaN,NaN
