t,RII_2_Obs,IBMX_Obs,AC_Fsk_Obs
0,0.0097972873999153,1.4975269076392,0.19686302789801
3.5,NaN,145.595045835403,NaN
5.5,0.0253182867895876,NaN,NaN
7,NaN,136.81816655552,NaN
7.5,NaN,NaN,0.0633888383639135
10,0.0435989828139154,118.687648060016,NaN
15,0.0470944969182823,151.513135748744,1.15058963388843
20,NaN,126.707139790878,NaN
25,0.02723355726731,169.535621934628,0.488455680945821
30,0.00595293845928613,NaN,-0.718787578763203
35,0.0220415503817116,91.3830402474592,NaN
40,NaN,NaN,-0.160950960456971
45,0.0311581789243382,NaN,NaN
55,0.0406966482636989,NaN,0.208657557002307
65,0.0309520070839097,NaN,0.150945576102109
80,0.0311256345250651,NaN,0.937050973295411
100,NaN,NaN,0.561900336785548
