t,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.391809331546308,-0.262154217593333,0.0263513254958
1.5,0.0392230449880252,NaN,NaN
2,NaN,0.355258631303852,NaN
2.5,NaN,NaN,0.0298767745201669
3,0.00372873407649737,NaN,NaN
4.5,NaN,0.151258246176503,NaN
5,0.0390149038481257,NaN,NaN
5.5,NaN,NaN,0.0568513965222362
7,0.0385847840599128,0.244829347521807,NaN
8.5,NaN,NaN,0.0178358775265727
9,-0.0188297039225619,NaN,NaN
9.5,NaN,0.172037822304315,NaN
10,-0.00147792175134273,NaN,0.0247887547932562
15,0.0100345003741682,0.446574216398378,-0.00164942252813677
20,0.0573696783656858,0.102142446327498,0.0305250402477476
25,NaN,0.177810670183414,0.0122066888637163
30,NaN,0.215547010075263,0.00178804471139695
40,NaN,0.0759385348360983,0.0113316808561887
