t,Csub_H89_Obs,RIIp_cAMP_C_2_Obs,RIIp_Rp8_Br_cAMPS_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RII_2_Obs,IBMX_Obs,PDE_Obs,AC_Fsk_Obs
0,-0.505514977228107,0.0325446453080764,0.565448518692771,-0.537549238199649,0.0232687024317747,-0.604685112761328,0.416717339126387,-0.361336661668642
7,NaN,NaN,NaN,NaN,NaN,NaN,1.74832235546534,NaN
8,1.00894702388586,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,0.0172068456747516,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.03412455710145,NaN,NaN,NaN
10,NaN,NaN,-0.11706319536861,-0.176818783537953,NaN,-0.655960787203524,NaN,NaN
15,-0.173406430935153,NaN,NaN,NaN,NaN,NaN,0.13995218167523,NaN
20,NaN,0.0107532494731109,NaN,NaN,0.0147269420579608,-1.29944256541905,NaN,0.95607193754309
25,1.43362605821975,NaN,-0.716545620236961,-0.196455951887579,NaN,NaN,0.924698733768634,NaN
30,NaN,0.00782257887096576,NaN,NaN,-0.000883455715964931,NaN,NaN,NaN
35,0.551291455418763,NaN,0.059900380973387,0.887149249583823,NaN,-0.175771437035722,0.545416989093064,NaN
40,NaN,0.00295933040608034,NaN,NaN,-0.00333266826040057,NaN,NaN,NaN
45,0.512553961036397,NaN,NaN,NaN,NaN,-0.601679467605819,1.629999836194,-0.0468135903019969
50,NaN,NaN,-0.518728713129224,0.286309187083676,NaN,NaN,NaN,NaN
55,-0.283156075742052,0.0108869445852138,NaN,NaN,0.0192377030493648,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.321255744458428,NaN,NaN
65,NaN,NaN,0.716607199696657,NaN,NaN,NaN,NaN,0.0175025414993243
70,-0.91362391611997,0.00567900852891874,NaN,-0.144663596310275,0.0359009263509268,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,-0.595643465279216,NaN,NaN
80,NaN,NaN,-0.210658708137367,NaN,NaN,NaN,NaN,NaN
85,0.475007463280558,NaN,NaN,0.55452164531869,0.000848409013417241,NaN,NaN,NaN
90,NaN,0.00647851766363889,NaN,NaN,NaN,NaN,NaN,-0.144193176803153
95,NaN,NaN,NaN,NaN,NaN,-0.543363877620162,NaN,NaN
100,-0.954504810650446,0.0118983766290633,0.937160996871515,1.38021993490748,0.0499902453995968,0.309861251299624,NaN,1.37596807786737
150,NaN,NaN,-0.936503677077179,-0.00893865195335827,0.027821165085419,0.0408792735092727,NaN,-0.439761721993921
200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.915275644750422
250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.377849262176752
300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.516751090379909
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.256992871409174
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.211313866983443
