t,RIIp_cAMP_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.0422124943175754,0.0552956906445757,0.13569205180515
3.5,-0.0118908792878234,NaN,NaN
4,NaN,NaN,-0.0255973761197813
7.5,0.120394196026893,0.0532136449193189,NaN
8.5,NaN,NaN,0.159008556868475
10,-0.0337732050132896,NaN,NaN
15,0.213142475758495,0.0508531341019986,0.298490369330597
20,0.136334849463351,NaN,0.395169447115389
25,0.316481294707577,-0.0028851275825283,0.226569428741705
30,0.0578959487591736,NaN,0.170125392427946
35,NaN,0.0273466511578111,0.365641317028526
40,0.164155110975797,NaN,NaN
45,0.151930819342098,0.0388942384758025,0.141545522887377
55,0.174255031432363,NaN,0.144773567338007
60,NaN,0.0388069666793453,NaN
65,NaN,NaN,0.247529872794123
