t,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,AC_Fsk_Obs,cAMP_Obs
0,0.386356462966483,-0.225051301108074,0.0179926713051469,-0.0367500414989191,0.141861784047136
3,NaN,NaN,NaN,NaN,7.32597410052186
3.5,-0.0335076424206608,NaN,NaN,NaN,NaN
4,NaN,0.224065722824836,NaN,0.470123915758774,NaN
4.5,NaN,NaN,0.0306891683989384,NaN,NaN
6.5,NaN,NaN,NaN,NaN,10.3236213509223
7,0.0763997435890609,NaN,NaN,NaN,NaN
8,NaN,0.322259910078402,NaN,0.162384402015278,NaN
9.5,NaN,NaN,0.0484854479752329,NaN,NaN
10,-0.00796454651644618,0.105922650554755,NaN,NaN,5.31164867501772
15,0.0629213169101928,0.119898136128489,0.0225430838200131,0.0505749855161271,2.58632202817194
20,0.0221569702411752,0.141046882259831,0.0181534604013527,0.257848596604031,7.78328606300915
25,0.0647190428911583,0.0593259527017605,0.0125419817362447,0.412523341380527,5.47186015701509
30,NaN,NaN,NaN,0.390743825420921,NaN
35,0.0151173907534915,0.0125190827757796,0.0167960416685097,NaN,NaN
40,NaN,0.237300909587683,0.0180008124114099,NaN,NaN
50,NaN,0.0113653541947445,0.0468821377150817,NaN,NaN
60,NaN,0.120626609920081,NaN,NaN,NaN
65,NaN,NaN,0.0302646992471821,NaN,NaN
70,NaN,0.0528297858443433,NaN,NaN,NaN
