t,Csub_H89_Obs,RIIp_C_2_Obs,RII_2_Obs
0,0.0559859558150623,0.719900569831501,-0.00144920575654762
20,0.142257035305494,0.117559451666187,-0.0196551486510234
40,0.636027185867053,NaN,-0.0793512116188581
45,NaN,0.0706611459157914,NaN
60,0.13714427070229,NaN,0.0569456060066964
70,NaN,-0.0927638439151978,NaN
85,0.299564288635399,NaN,0.119287977562085
95,NaN,0.422058950428116,NaN
100,0.058358993433417,0.409307628253127,0.059571965845115
150,0.751123381807344,0.367246342998483,0.193067370568045
200,0.49949785507707,0.301053197811166,0.201467678781058
250,0.637482619369766,0.532877126785471,0.126033407512679
300,0.383577598899038,0.0932097321970016,0.453856883712264
350,0.125553469223328,0.161153732410176,0.13567149681861
450,0.398328302429963,0.22663145123439,0.556130002907133
