t,Csub_H89_Obs,RIIp_C_2_Obs,RII_2_Obs
0,0.123631569954542,0.471270873036438,0.140245004186548
10,NaN,0.148405224659806,NaN
20,-0.0393621536959514,NaN,NaN
25,NaN,0.29940032809447,NaN
30,NaN,NaN,0.00337379082427664
40,NaN,0.462876471442944,NaN
45,0.602823436524868,NaN,NaN
55,NaN,0.440480466927557,NaN
60,NaN,NaN,-0.0289653511052992
65,-0.384188726791102,NaN,NaN
75,NaN,0.241730224729546,NaN
95,0.503980246342957,0.306231530478994,-0.0309245176581613
100,0.465047853482407,-0.0676186526640842,NaN
150,0.553175856677031,0.422972677557352,0.186446064377097
200,0.556516325162736,NaN,0.325136770149237
250,0.631763026308823,NaN,0.0982679590712265
300,0.569577469946143,NaN,NaN
350,0.773783557046671,NaN,0.241040627399454
450,0.426348520350218,NaN,0.185481006182544
