t,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RII_2_Obs,AC_Fsk_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,RIIp_cAMP_2_Obs,Sp8_Br_cAMPS_Obs
0,0.430962323327891,0.0123270001358238,0.00743746501921493,0.0197670758257831,-0.585545097076687,0.0426241863620958,0.00250741321142729,5.51097619781748
3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.13376114325477
4,NaN,NaN,NaN,NaN,NaN,NaN,0.000490556837425124,NaN
4.5,NaN,0.0020729671555593,NaN,NaN,NaN,0.338924576892365,NaN,NaN
5,0.0248275757214542,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,0.0286446373733043,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6600643404106
8,NaN,NaN,NaN,0.0366033074849559,NaN,NaN,0.00021065790693383,NaN
9.5,NaN,0.000811694561051527,NaN,NaN,NaN,0.442581933925699,NaN,NaN
10,0.0239561384896781,NaN,NaN,NaN,NaN,NaN,0.000184143950837085,12.2598928946528
15,NaN,0.000687945649113409,0.0064788231034464,0.00476865579236704,0.390014664463856,0.366010145254197,7.58319397488209e-05,11.2885440016002
20,-0.00977481672919022,0.00255925778577268,0.00485286182127622,NaN,NaN,0.207924868068759,NaN,10.1001836265286
25,-0.0176233269472014,-0.00139638357348999,NaN,0.0220126294305206,NaN,0.152613774412882,0.000203267879385962,17.6017165148907
30,NaN,NaN,0.00490802731346735,NaN,-0.322861513192395,NaN,-0.000242941073425851,10.8823964199632
35,0.0733790792552428,-0.00248161275212322,0.0123870395022155,0.0129016433131745,NaN,0.0791209040072695,-1.85258853253544e-05,6.6423927535794
40,NaN,NaN,NaN,NaN,NaN,-0.00369568469602496,NaN,11.8976186471795
45,NaN,NaN,0.0115455572825968,NaN,-0.196835934713492,NaN,NaN,NaN
50,NaN,NaN,NaN,0.0455488680239751,NaN,0.253400077995981,NaN,12.769229632481
55,NaN,NaN,0.0204829696507684,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.433267896833
65,NaN,NaN,NaN,0.0224243927227418,0.940793864552183,0.0462419677851988,NaN,NaN
70,NaN,NaN,0.00770684885370648,NaN,NaN,NaN,NaN,3.83511483502927
80,NaN,NaN,NaN,NaN,NaN,0.139117089980724,NaN,NaN
85,NaN,NaN,0.00513862406127306,NaN,0.338430788254206,NaN,NaN,NaN
100,NaN,NaN,0.0144908655551526,NaN,0.0284027253050322,NaN,NaN,NaN
150,NaN,NaN,NaN,NaN,-0.208336353568937,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,0.96646257233544,NaN,NaN,NaN
250,NaN,NaN,NaN,NaN,0.396359599005806,NaN,NaN,NaN
300,NaN,NaN,NaN,NaN,0.511441953467885,NaN,NaN,NaN
