t,RIIp_C_2_Obs,RII_2_Obs,IBMX_Obs
0,0.330493174004338,0.0573309309886344,19.9338860349239
3,NaN,NaN,109.422038846768
3.5,0.35685039571914,NaN,NaN
6.5,0.261499149583047,NaN,93.8756825765053
7.5,NaN,0.0523905493962046,NaN
10,0.261777613598642,NaN,168.944744763515
15,-0.0916737452253805,0.0168040124212795,55.0394672239092
20,0.0403482661033532,NaN,27.8359040537316
25,-0.0662345844672873,0.0227918509603135,74.4836024215638
30,0.00875112495140833,NaN,79.3229611982301
35,-0.0219554051794033,0.0339864777404049,NaN
45,0.0304029816903736,0.029049957455916,NaN
55,-0.0221854635936796,NaN,NaN
60,NaN,0.0366655304937991,NaN
