t,RIIp_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.578596096715446,0.0270940284036507,-0.0036264043542689
8.5,NaN,NaN,0.00817152572215216
10,0.522992199067803,NaN,NaN
15,NaN,0.0383194092713907,0.00652077767449761
20,0.322660919040043,NaN,NaN
25,NaN,0.0331340335684276,-0.00163003672504126
30,0.527817666714577,NaN,NaN
35,NaN,NaN,0.0114311102809371
40,NaN,0.0174236885194282,NaN
45,0.249401760712575,NaN,NaN
50,NaN,NaN,-0.00265933499670694
55,0.316533211836716,0.0602322396038005,NaN
65,NaN,NaN,0.037298807278742
70,0.315335256302768,0.0591155187348563,NaN
80,NaN,NaN,0.0319863083909493
85,0.154939234977764,NaN,NaN
90,NaN,0.0508136532187787,NaN
100,0.136066705992017,0.0415124343056218,0.03551701012513
150,0.15894791693407,0.0310967218713056,NaN
200,0.080218570968027,0.0641464536030659,NaN
250,0.334371663967321,NaN,NaN
