t,RIIp_cAMP_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.0475983038709745,0.0613840269190036,0.00687222008278158
7.5,NaN,NaN,-0.0308016726679129
8.5,-0.00135779256220893,NaN,NaN
10,NaN,0.0525718794104751,NaN
15,NaN,NaN,0.00195717689220623
20,0.00261417601949377,NaN,NaN
25,0.0124497079609358,0.0236403602118791,-0.00915024217371915
35,0.00276220583702782,0.0293334129630943,0.0275359383461018
45,NaN,NaN,0.019318500351324
50,0.0373624721250503,0.065449556070051,NaN
55,NaN,NaN,-0.0124803745582718
60,0.0431212433907199,NaN,NaN
65,NaN,0.0298639807077476,NaN
70,NaN,NaN,0.0734593805844585
75,0.138398371601455,NaN,NaN
85,NaN,0.0264351958761303,NaN
90,0.107180311062659,NaN,0.0782096102263952
100,0.0904911167241567,0.0364321268389967,0.117267878903634
150,0.147250722298123,0.015678430626574,NaN
