t,Csub_H89_Obs,RIIp_C_2_Obs,RII_2_Obs
0,0.0542573723005002,0.443744734603254,0.0406361057581053
15,NaN,0.383867176303965,NaN
25,-0.0874583524831419,NaN,0.0308728697576892
30,NaN,0.321318716356856,NaN
45,NaN,0.383444834699133,NaN
50,-0.0633477658253493,NaN,0.00346862470310339
65,NaN,0.234711251531091,NaN
80,0.157556749604525,NaN,-0.00525048094280519
90,NaN,-0.122099121976887,NaN
100,0.152108872989593,0.00493240312440547,0.023918751951971
150,0.0993421337925162,0.264715799394511,0.0407041277359134
200,0.179487662465995,NaN,0.0114127805813735
250,0.204240859883503,NaN,0.12565451675019
300,0.356799142455773,NaN,0.117165632699096
350,0.475974524029406,NaN,0.064323410116852
450,0.497478010688032,NaN,0.121354033194122
