t,Csub_H89_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.0339949749267119,0.0650361165870541,-0.0155119086548739
7,NaN,NaN,0.00626545202157859
15,NaN,NaN,-0.0214050709194182
20,-0.058320219100448,NaN,0.0305389688078993
25,NaN,-0.0211176880958708,NaN
30,NaN,NaN,-0.0160158108729067
40,NaN,NaN,-0.0135026436719313
45,0.258883133620207,0.0574673455285474,NaN
55,NaN,NaN,0.0147845977601061
65,0.255148125939544,NaN,0.10514829282236
70,NaN,0.0714571398035936,NaN
85,NaN,NaN,0.102579328008754
90,0.239523791474233,NaN,NaN
95,NaN,-0.0451498662289881,NaN
100,0.40498654387096,NaN,0.123416160721011
150,0.206047555087125,0.0101441069035049,NaN
200,0.73614533920366,0.0540154787314655,NaN
250,0.0739261194771588,0.105016361152444,NaN
300,NaN,0.235196254914565,NaN
350,0.459635945710899,0.0968029204117274,NaN
400,0.348039981567496,NaN,NaN
450,NaN,0.296977436982749,NaN
