t,EpoRJAK2_Obs,STAT5_Obs,CISnRNA1_Obs,CISRNA_Obs,CIS_Obs
0,4.65761936778341,57.29163673377,1.05508092975262,9.28187891883283e-05,95.0234490856638
10,3.12273125955428,NaN,164.944146351575,NaN,NaN
15,NaN,52.127407577002,NaN,0.000104152738668171,61.9359044786165
20,4.6709328055766,NaN,592.560117076325,NaN,NaN
25,NaN,50.5721673251256,NaN,NaN,NaN
30,2.78018370569111,NaN,846.968993482313,0.00512001115838397,79.6526799267348
40,NaN,31.7218157809156,NaN,NaN,NaN
45,4.84384176546139,NaN,1097.89579489326,0.0173623313211415,NaN
50,NaN,NaN,NaN,NaN,91.227087182986
55,NaN,47.8640108455815,1587.50598905887,NaN,NaN
60,3.79797309555287,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,0.100884164758132,71.2792586770211
70,NaN,NaN,1496.32797788669,NaN,NaN
75,4.49851844652603,40.6546685883563,NaN,NaN,NaN
80,NaN,NaN,NaN,0.0800469254049119,NaN
85,NaN,NaN,1362.85542280298,NaN,NaN
90,NaN,49.22550677696,NaN,NaN,48.7780225844778
95,4.53962320382814,NaN,NaN,NaN,NaN
100,6.30481718048474,47.9037790006165,2022.21088272289,0.101080216560392,65.2682842611931
150,3.76147212306109,61.2803265550436,1581.37266527765,0.0791150950709501,37.4252245661148
200,NaN,53.5331828003514,1014.08724411395,0.0658435262307812,57.551629173859
250,NaN,77.9975871610286,726.971053927215,0.0564297800985903,116.324114833026
300,NaN,48.7472079325783,1449.04718977067,0.0552008024876878,NaN
