t,epo_level,CISRNA_Obs
13,2.5e-09,0.000489006536635424
13,2.5e-09,0.000283478825442579
13,2.5e-09,0.000364590152738672
13,2.5e-08,0.000307101677508268
13,2.5e-08,0.000271020492416599
13,2.5e-08,0.000401271646792524
13,2.5e-07,0.000178410349533421
13,2.5e-07,0.000145857708444016
13,2.5e-07,0.000197095489496111
13,2.5e-06,3.64181201236994e-05
13,2.5e-06,3.26916484394893e-05
13,2.5e-06,3.43441874346659e-05
13,2.5e-05,1.58974629674756e-06
13,2.5e-05,3.15560969909859e-06
13,2.5e-05,1.73390392659721e-06
