t,CISnRNA1_Obs,CISRNA_Obs,CIS_Obs
0,9.74930593834888,0.000116882287914352,0.0100270583557806
8.5,162.81348943931,NaN,0.00999257805592072
10,NaN,0.000133673417918463,NaN
15,604.333346985313,NaN,0.0106507233369952
20,NaN,0.00155179861523381,NaN
25,1151.58521954053,NaN,0.0381017123798505
35,1795.0704917334,0.0190508210521789,0.26892102253918
45,1507.97877832614,0.0438493465081433,0.481216602472059
60,1251.65414246988,0.0985557083695646,1.68799253345198
70,1603.24612902189,NaN,NaN
75,NaN,0.144454505208599,3.03209981151527
85,2387.11145985199,NaN,NaN
90,NaN,NaN,4.21130930564134
95,NaN,0.120317676120912,NaN
100,2277.45189460911,0.167975496102375,6.60008217406856
150,1170.37238094447,0.0642725713770056,21.1421007386629
200,1241.83153145882,0.0752349448836173,NaN
