t,EpoRJAK2_Obs,STAT5_Obs,CISnRNA1_Obs,CISRNA_Obs,CIS_Obs
0,3.42172239644176,86.7538449005703,0.92796503558053,1.23460567048485e-05,0.000824542880751333
10,3.10575370806908,68.6030248019622,6.15755682574165,NaN,NaN
15,NaN,NaN,NaN,9.18068278416106e-06,0.00139917335359727
20,3.78897255296878,NaN,NaN,NaN,NaN
25,NaN,75.3390874444719,69.2811528165923,NaN,NaN
35,3.2161673394852,87.9202498551545,121.887404434741,0.000419139632815671,0.00925637620281635
45,4.9806250641813,NaN,239.068590331572,NaN,NaN
50,NaN,62.1688972634764,NaN,0.00315813160689991,0.032207655589433
60,2.40252653190142,NaN,219.288248713551,NaN,NaN
65,NaN,61.7039708054527,NaN,NaN,NaN
70,NaN,NaN,NaN,0.00767734662785187,0.215785187843022
75,5.99972183243665,NaN,334.014305007734,NaN,NaN
80,NaN,76.7723306623911,NaN,NaN,NaN
90,NaN,NaN,NaN,0.0134094254785633,NaN
95,4.32300349490581,NaN,285.726317672453,NaN,0.498960159612581
100,4.34182520040252,122.264890196044,186.147027177141,0.0153217210541454,0.791639039536939
150,5.13720983656023,109.749272336398,149.514131474899,0.0165978285604573,1.50627953939075
200,NaN,83.5531590888734,130.94759729944,0.0186842874205517,1.79282186064536
250,NaN,76.1121299309282,155.566755009009,0.0160403267362326,1.55606696824718
300,NaN,107.534076905704,148.334121808495,0.00650420118876019,1.63774299876173
