t,epo_level,CIS_Obs
10,2.5e-09,4.72968789492441e-05
10,2.5e-09,3.09353331315734e-05
10,2.5e-09,3.94228086315229e-05
10,7.905e-09,2.21665481118866e-06
10,7.905e-09,1.65447128544409e-06
10,7.905e-09,2.3722755263928e-06
10,1.25e-08,3.65327983005137e-06
10,1.25e-08,2.74084845912654e-05
10,1.25e-08,5.59731754935794e-05
10,1.75e-08,6.14275851527521e-05
10,2.5e-08,0.000132544278416979
10,2.5e-08,7.26004034026226e-05
10,2.5e-08,6.27603589628467e-06
10,3.95e-08,4.52949540247743e-06
10,3.95e-08,5.12087161856054e-06
10,3.95e-08,2.72451885275088e-07
10,7.9e-08,3.38206591284246e-07
10,1.25e-07,2.93086406587663e-07
10,1.25e-07,1.31729038353531e-05
10,1.25e-07,6.62557978719709e-06
10,1.7675e-07,1.16037350754774e-05
10,1.7675e-07,0.000117596777203318
10,1.7675e-07,0.000135227906877148
10,2.5e-07,9.36330291675869e-05
10,7.905e-07,1.05743800420484e-06
10,7.905e-07,1.23864496849285e-06
10,7.905e-07,1.1004143521085e-06
10,2.5e-06,1.87978210323681e-05
