t,CISnRNA1_Obs,CISRNA_Obs,CIS_Obs
0,10.4027943866917,0.000109451294456359,0.00848050130178993
8.5,225.749059533816,NaN,0.0243139368101097
10,NaN,0.000138714138709996,NaN
15,859.320489169063,NaN,0.00638496240095599
20,NaN,0.00224501484002163,NaN
25,1873.68662585006,NaN,0.0222796710227035
35,1815.52297187264,0.0287981087035625,0.173675110316038
45,2615.80018778281,0.0803088496027593,0.722924915787588
55,1799.61059207247,NaN,NaN
60,NaN,0.102548568341619,1.94788266762667
70,3189.35367509925,NaN,3.50298131421734
75,NaN,0.153423083032309,NaN
85,1830.4406566029,NaN,7.34904261784745
95,NaN,0.15704270745005,NaN
100,1978.69489052278,0.207488276632273,6.18860239066273
150,937.191584270761,0.13879058774224,13.3681281991839
200,1150.06695816465,0.0644313642726684,14.308259525438
