t,CISnRNA1_Obs,CISRNA_Obs,CIS_Obs
0,9.88796334984006,0.000104073949517323,0.0085808617874174
8.5,180.205919262782,NaN,NaN
10,NaN,0.000127124634204147,0.0122476302549368
15,682.953933355871,NaN,NaN
20,NaN,0.00102240783993906,0.0140002653621636
25,1798.98141367445,NaN,NaN
30,NaN,NaN,0.0760633998569453
35,2176.21089816737,0.0168176915304204,NaN
45,2306.12219538235,0.0380575495785415,0.534633694862506
55,3911.92109607952,NaN,1.86597798559666
60,NaN,0.0814528817127282,NaN
70,1838.98327631292,NaN,3.53587723092331
80,NaN,0.123676136576772,NaN
85,1301.93345058202,NaN,5.56644950708873
95,NaN,0.143262750661439,NaN
100,1909.29340853412,0.216504760562223,12.4080261110232
150,778.633820141521,0.127270966006672,15.094809996109
200,739.427011905703,0.0601823114828152,10.9984442861144
