t,EpoRJAK2_Obs,STAT5_Obs,pSTAT5_Obs
0,3.156854178512,111.15282785325,0.0970894444524326
10,3.32044817576422,NaN,NaN
15,NaN,1.43608667013498,52.3454904744282
20,5.39316687877788,NaN,NaN
30,3.65861335020937,8.16426279764513,59.9384942487793
40,NaN,NaN,61.7197760204075
45,2.77581495108095,NaN,NaN
50,NaN,18.2710096272148,NaN
60,3.42098700289316,NaN,48.6240996333515
70,4.54145732083185,17.235795951555,NaN
75,NaN,NaN,22.8870045678582
90,3.84890889449624,25.3272394793603,NaN
95,NaN,NaN,34.947687326122
100,3.0770376478581,25.6874947252323,45.3991883440968
150,4.05097564083855,29.0531227976224,36.6140382277804
200,4.15913853302032,37.6635389883721,47.0805031523789
250,NaN,35.2525302438257,34.8754638146807
300,NaN,35.7957295854128,37.3194383022991
350,NaN,41.8628114428677,NaN
