t,epo_level,CISRNA_Obs
33,2.5e-09,0.000691479931576088
33,2.5e-09,0.000957387668815184
33,2.5e-09,0.00108973825575462
33,2.5e-08,0.00815787623334355
33,2.5e-08,0.00954972476470594
33,2.5e-08,0.0100748222130789
33,1.25e-07,0.0139796404084108
33,1.25e-07,0.0196258515474974
33,1.25e-07,0.0211464276083399
33,2.5e-07,0.016708306201265
33,2.5e-07,0.0283724474067061
33,2.5e-07,0.0293090253735505
33,1.25e-06,0.0209303228955353
33,1.25e-06,0.0221189078190618
33,1.25e-06,0.0227147181835893
33,2.5e-06,0.0170209266793693
33,2.5e-06,0.0194897217879789
33,2.5e-06,0.0255267200336646
