t,EpoRJAK2_Obs,STAT5_Obs,CISnRNA1_Obs,CISRNA_Obs,CIS_Obs
0,6.63815607092637,72.2427877560141,7.30620344210365,0.000118745310715295,0.0937438967681102
20,NaN,NaN,895.415889001033,NaN,NaN
25,2.71038180047103,8.71255137946629,NaN,NaN,NaN
35,NaN,NaN,2897.05783971875,0.0144735971875476,NaN
45,NaN,19.553183998539,NaN,NaN,0.826308402016761
50,3.80477885384703,NaN,NaN,NaN,NaN
60,NaN,NaN,1251.77312375001,NaN,NaN
70,NaN,28.6968690590546,NaN,0.150020381232705,NaN
80,3.7540565906594,NaN,2242.88975454921,NaN,NaN
90,NaN,NaN,NaN,NaN,4.76905606161016
100,2.95578659522839,40.7540587055592,1406.03821102169,0.159608749261473,NaN
150,3.39453930164638,87.3585040466979,1508.81081009715,0.133078505856165,11.8953989137837
200,3.62701418160944,58.003798719597,673.419417045243,0.106977633094599,15.1128777876762
250,5.20584105945119,62.0820557112246,652.754205333822,0.0631997106479021,19.0753078901383
300,4.66646250218705,72.498507482281,1206.80879950526,0.0891977035106297,28.5450066584548
350,4.23689085361594,52.9250792029185,782.650789162314,NaN,NaN
400,NaN,NaN,NaN,0.0523419997975626,17.6641258350102
450,NaN,84.8483284481263,NaN,0.0421465452856945,NaN
500,NaN,NaN,NaN,NaN,16.2261061736247
600,NaN,NaN,NaN,NaN,24.7089892099272
700,NaN,NaN,NaN,NaN,13.4644043586086
850,NaN,NaN,NaN,NaN,17.2968827857898
