t,EpoRJAK2_Obs,STAT5_Obs,CISnRNA1_Obs,CISRNA_Obs,CIS_Obs
0,5.40323060150274,68.5813826522585,1.05511513703556,6.87149756268943e-06,0.0012673260627903
10,3.41001768511085,NaN,6.41610379485066,NaN,NaN
15,NaN,55.1586475986807,NaN,1.53536555401753e-05,0.00138714408647679
25,2.72637172933399,NaN,68.4079713267646,NaN,NaN
30,NaN,68.1576110702742,NaN,NaN,0.00300976036107201
35,NaN,NaN,NaN,0.000570574800309817,NaN
40,1.98722279142732,NaN,177.568163974117,NaN,NaN
45,NaN,93.780326741309,NaN,NaN,0.0228634636266914
50,NaN,NaN,NaN,0.00325739217162818,NaN
55,4.03132372773029,NaN,267.847170877978,NaN,NaN
60,NaN,61.3983303685633,NaN,NaN,0.0917048455164045
70,3.97129400752359,NaN,247.767762592998,0.00974375889851455,NaN
75,NaN,84.3883718616678,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.313227767334611
85,NaN,NaN,194.629551047564,NaN,NaN
90,3.96874395395215,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.0135736471842737,NaN
100,3.50954918214604,84.8771401066627,447.220563569145,0.0114957159591475,0.759026304177001
150,4.12693747428346,59.4143273000166,243.100037583944,0.0108633427712074,1.1796345543292
200,3.20632992218596,99.7486009841329,207.787319885311,0.0221306438027776,2.47823690704837
250,NaN,62.5723273386271,135.65201983397,0.014191705408314,1.76595356898155
300,NaN,81.8009845792841,162.274498001287,0.012874989547014,3.30505687258632
