t,pJAK1_pgp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.000834595159679498,0.000249829209472324,0.000332121483098118,0.300680612933987
10,NaN,0.0246709964100233,0.00828329177154817,NaN
15,0.0598883259402495,NaN,NaN,0.287562376492477
20,NaN,NaN,0.0961333474523693,NaN
25,0.0770506044184563,0.204857047717491,NaN,NaN
30,NaN,NaN,NaN,0.36986263405937
35,NaN,NaN,0.188543253554131,NaN
40,0.0664407285291241,0.16431353930081,NaN,NaN
45,NaN,NaN,0.1736326998824,0.292722369271672
55,NaN,0.0946420232513781,NaN,NaN
60,0.0405816963405084,NaN,0.108134042665114,NaN
65,NaN,NaN,NaN,0.198968724484309
70,NaN,0.0695713096724971,NaN,NaN
75,0.0358270208119095,NaN,0.0649488815368093,NaN
90,NaN,0.058975493464608,NaN,0.14741983623879
95,0.03675905320351,NaN,0.0617306587878529,NaN
100,0.0284606396010841,0.0664448925656956,0.0588494320467281,0.140089113050264
150,0.0329068429772831,0.051149921654732,0.0572310493412713,NaN
200,0.0310538387055151,0.0579579724976498,0.0578230312938763,NaN
