t,input_il6,nSOCS3RNA3_Obs,Compound_1_Obs
6,5,0.000456263706916924,0.264632655805524
6,5,0.000571842536889711,0.227460083551048
6,5,0.000513270918565708,0.245191963997469
6,5,0.000413731005163074,0.283249532322726
6,20,0.000925166987092414,0.265363086357334
6,20,0.000968696832933147,0.214325679593647
6,20,0.000820622640096915,0.259994754715062
6,20,0.000808683933643929,0.253280082299035
6,40,0.000282662637248032,0.317333119973686
6,40,0.000317627495308222,0.261952513004555
6,40,0.000300887057106799,0.269488803896293
6,40,0.000304959424213631,0.262558200171329
6,90,0.00199299450920421,0.20282825621109
6,90,0.00208647440417632,0.219166749655552
6,90,0.00215635363357675,0.203920923866576
6,90,0.00219208664853629,0.196683414909089
