t,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.000839539709193835,0.00034752049212382,0.284152114636928
20,NaN,0.00624339733139098,NaN
25,0.0132298972819231,NaN,0.312953318646718
45,NaN,0.0254857343840688,NaN
50,0.0134642023443959,NaN,NaN
55,NaN,NaN,0.345078213293878
65,NaN,0.0252299063748691,NaN
80,0.0130237743574916,NaN,0.3032164562161
90,NaN,0.0227803435864944,NaN
100,0.0132304480582914,0.0208315947545821,0.245034541042283
150,0.0126542407199348,0.0178955223518793,0.235351138661336
200,0.0105564595674108,0.0181762990716183,0.246654912187413
250,0.0102556032300077,0.0194898084173412,0.220304822373719
300,0.0102644224122492,0.0164781398026864,0.231967804013002
350,0.0107139366118452,0.0170310054827003,0.219565856563286
450,0.01093856003152,NaN,0.232946621814037
