t,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.00035886721140713,0.301773369487781
20,0.103372447964192,NaN
25,NaN,0.393136237009854
45,0.15851452459994,NaN
50,NaN,0.283286412741291
70,0.0833484453514239,NaN
75,NaN,0.146137805620836
95,0.0621856042769888,NaN
100,0.0624083022022647,0.154431296103851
150,0.0144637105025996,0.140027379586803
200,0.000212654192016264,0.163108685011062
250,0.00019205170470821,0.210811762548575
300,NaN,0.236488729004722
350,0.000272314902964481,0.248559269467109
400,0.000275020398693923,NaN
450,NaN,0.244727229822788
