t,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.000338380068426186,0.305897145532803
4.5,0.000668471412443593,NaN
9,0.0144360361949355,NaN
10,NaN,0.213199748970448
15,0.0747380105447028,NaN
20,0.173188805392437,0.421129251248463
25,0.210866583882705,NaN
30,0.278778617410068,0.465243010445788
35,0.22119952064984,NaN
45,0.0867414791275915,0.124615653278773
55,0.0182663754716333,NaN
60,NaN,0.0621790940739386
65,0.00288027089795921,NaN
75,NaN,0.0441024348685447
80,0.000254486401872754,NaN
90,NaN,0.039826412129646
100,NaN,0.0349452981555022
150,NaN,0.0278737853637964
