t,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.000263056780614123,0.28895496668935
6,0.000198617966733979,NaN
10,0.000146266230754487,NaN
20,4.30119550172352e-05,0.144804772482152
25,1.65606101056343e-05,NaN
30,6.53519927531095e-06,NaN
40,1.20127353890461e-06,0.119100194484098
50,2.38307457646423e-07,NaN
60,1.1560988599491e-07,0.0962066428166797
75,1.00972681101954e-07,NaN
80,NaN,0.0918923441670046
85,9.47981307785998e-08,NaN
100,NaN,0.0842726360293675
150,NaN,0.0628623836303524
200,NaN,0.0430360179972254
250,NaN,0.0298132724233119
300,NaN,0.0227127108825311
350,NaN,0.0188755497005998
450,NaN,0.0101384338400948
