t,input_il6,nSOCS3RNA3_Obs,Compound_1_Obs
0,2.5,0.000238228392069645,0.285203267513549
0,2.5,0.000241457263271367,0.290717559280135
0,2.5,0.000247068089850548,0.319720142133621
0,2.5,0.00024850451997725,0.301689308316141
0,2.5,0.000251326366520142,0.307078289817316
0,10,0.000238093756737002,0.27244397314418
0,10,0.000239691678579422,0.281453379888775
0,10,0.000247220291670056,0.302347664780741
0,10,0.000256451674920057,0.322986618066402
0,10,0.000267852466853122,0.282256336874359
0,60,0.000227539128294544,0.285521466535037
0,60,0.000236648186405546,0.283511748601884
0,60,0.000244185103641977,0.30641649552759
0,60,0.000248826595070716,0.30654156095673
0,60,0.000258633867369489,0.304757525663089
0,120,0.000223186434908258,0.301939509044837
0,120,0.000232259271692274,0.303204634852663
0,120,0.0002420816077098,0.31318577152978
0,120,0.00026066408453396,0.334199779031909
0,120,0.000265613580954679,0.308203946205393
