t,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.000849694081090577,0.00025727827317665,0.334784264362704
5,NaN,0.000227572926969883,NaN
10,NaN,0.000148306845688806,NaN
15,NaN,7.70459412653361e-05,NaN
25,0.108891880316058,1.51783780174844e-05,0.135294785014703
30,NaN,6.52567707355606e-06,NaN
35,NaN,2.63891879481315e-06,NaN
45,0.092316455151819,4.32430944990797e-07,0.104580690949725
55,NaN,1.5150957179698e-07,NaN
65,NaN,1.17185319390113e-07,NaN
75,0.073168317923008,NaN,0.0968988562563647
80,NaN,1.05191877541525e-07,NaN
100,0.0678441532857289,NaN,0.0800852291545664
150,0.0502057649284319,NaN,0.0607351252606083
200,0.036430400022035,NaN,0.0443627832630422
250,0.0275335244034961,NaN,0.0283945953639673
300,0.0210628957171561,NaN,0.0256181899045468
350,0.0147946119041744,NaN,0.0183134113000871
450,0.00869642294746904,NaN,0.00918822617686
