t,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.000897519011748922,0.000383031777662435,0.284207194246692
20,NaN,0.0188493018108463,NaN
25,0.0253137990719573,NaN,0.306811126572037
40,NaN,0.0569040004242656,NaN
45,NaN,NaN,0.308553883486618
55,0.0244783857571599,NaN,NaN
60,NaN,0.0505260236341982,NaN
70,NaN,NaN,0.244424372421544
85,0.0197740214863388,0.0331726312630708,NaN
100,0.0184525560666335,0.036160349320733,0.218823559171128
150,0.0182944706511522,0.031343983718334,0.196282397745822
200,0.0154006470864976,0.0297796378129283,0.187463772886539
250,0.0154349513787866,NaN,0.21422097210185
300,0.0137912052767423,0.0274930565003293,0.218689878761503
350,0.0165439812131747,NaN,NaN
400,NaN,NaN,0.202051955264827
450,0.0150357299621059,NaN,NaN
