t,input_il6,pJAK1_pgp130_Obs
60,0.1,0.00119880490072753
60,0.1,0.00115354697817368
60,0.5,0.00135329465476174
60,0.5,0.00140008974972502
60,1,0.00175414095133142
60,1,0.00171095521728329
60,2.5,0.00679331958407356
60,2.5,0.00628568873911153
60,5,0.0375465535536457
60,5,0.0328319462362842
60,10,0.00260694081345791
60,10,0.00265410691123996
60,25,0.0119804181373861
60,25,0.0118151765185569
60,50,0.00383199588582768
60,50,0.00361123827756804
60,100,0.0226974052489624
60,100,0.0195605239857417
60,500,0.0520172807119709
60,500,0.0533432623368016
