t,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.000872132341888039,0.000337111747710171,0.299546535522009
15,NaN,NaN,0.279459067176042
20,0.0422179273518296,0.0473702389711377,NaN
30,NaN,NaN,0.31897084664822
35,NaN,0.129968056344574,NaN
45,0.0439964893964859,NaN,0.289501758003449
55,NaN,0.0884058679447586,NaN
60,NaN,NaN,0.25744953219756
70,0.0280234471367014,NaN,NaN
75,NaN,0.0568100401110893,0.233449255270413
95,0.0266594811040604,NaN,NaN
100,0.0257027420210619,0.0487697415367879,0.187154005332899
150,0.0258541248254485,0.0445179753056616,0.174970618690853
200,0.0191193435207046,0.0462862405121747,0.163013688714455
250,0.0209106923929415,0.0452067065005735,NaN
300,0.0188749984811054,0.0463360733739398,NaN
350,0.0205887381209619,NaN,NaN
